"rank","name","state_abbrev","party_loyalty","votes_cast","party","congress"
1,"SCHUMER, Charles Ellis (Chuck)","NY",0.974736842105263,475,"D",112
2,"CARDIN, Benjamin Louis","MD",0.973140495867769,484,"D",112
3,"UDALL, Thomas (Tom)","NM",0.972457627118644,472,"D",112
4,"KERRY, John Forbes","MA",0.967391304347826,460,"D",112
5,"COONS, Christopher A.","DE",0.966942148760331,484,"D",112
6,"MENENDEZ, Robert","NJ",0.963983050847458,472,"D",112
7,"GILLIBRAND, Kirsten","NY",0.962655601659751,482,"D",112
8.5,"BINGAMAN, Jesse Francis, Jr. (Jeff)","NM",0.9625,480,"D",112
8.5,"JOHNSON, Timothy Peter (Tim)","SD",0.9625,480,"D",112
10,"SHAHEEN, Jeanne","NH",0.960416666666667,480,"D",112
11,"LAUTENBERG, Frank Raleigh","NJ",0.959821428571429,448,"D",112
12,"BLUMENTHAL, Richard","CT",0.959660297239915,471,"D",112
13.5,"REED, John F. (Jack)","RI",0.958592132505176,483,"D",112
13.5,"FRANKEN, Al","MN",0.958592132505176,483,"D",112
15,"WHITEHOUSE, Sheldon","RI",0.95850622406639,482,"D",112
16,"MURRAY, Patty","WA",0.958071278825996,477,"D",112
17,"FEINSTEIN, Dianne","CA",0.957983193277311,476,"D",112
18,"AKAKA, Daniel Kahikina","HI",0.957805907172996,474,"D",112
19,"INOUYE, Daniel Ken","HI",0.957746478873239,426,"D",112
20,"ROCKEFELLER, John Davison IV (Jay)","WV",0.956818181818182,440,"D",112
21,"DURBIN, Richard Joseph","IL",0.954166666666667,480,"D",112
22,"BOXER, Barbara","CA",0.952914798206278,446,"D",112
23,"BROWN, Sherrod","OH",0.951983298538622,479,"D",112
24,"REID, Harry","NV",0.950413223140496,484,"D",112
25,"MIKULSKI, Barbara Ann","MD",0.94979079497908,478,"D",112
26,"LEAHY, Patrick Joseph","VT",0.949367088607595,474,"D",112
27,"WYDEN, Ronald Lee","OR",0.948827292110874,469,"D",112
28,"LEVIN, Carl","MI",0.94639175257732,485,"D",112
29,"BENNET, Michael F.","CO",0.945720250521921,479,"D",112
30,"NELSON, Clarence William (Bill)","FL",0.943983402489627,482,"D",112
31,"CASEY, Robert (Bob), Jr.","PA",0.943514644351464,478,"D",112
32,"CONRAD, Kent","ND",0.94291754756871,473,"D",112
33.5,"HARKIN, Thomas Richard (Tom)","IA",0.942307692307692,468,"D",112
33.5,"KOHL, Herbert H.","WI",0.942307692307692,468,"D",112
35,"CANTWELL, Maria E.","WA",0.942028985507246,483,"D",112
36,"KLOBUCHAR, Amy","MN",0.939958592132505,483,"D",112
37,"STABENOW, Deborah Ann","MI",0.937238493723849,478,"D",112
38,"MERKLEY, Jeff","OR",0.935146443514644,478,"D",112
39,"WARNER, Mark","VA",0.935064935064935,462,"D",112
40,"UDALL, Mark","CO",0.934873949579832,476,"D",112
41,"CARPER, Thomas Richard","DE",0.933884297520661,484,"D",112
42,"LANDRIEU, Mary L.","LA",0.923566878980892,471,"D",112
43,"HAGAN, Kay","NC",0.922268907563025,476,"D",112
44,"BEGICH, Mark","AK",0.920168067226891,476,"D",112
45,"BAUCUS, Max Sieben","MT",0.912681912681913,481,"D",112
46,"TESTER, Jon","MT",0.910788381742739,482,"D",112
47,"LIEBERMAN, Joseph I.","CT",0.907725321888412,466,"D",112
48,"WEBB, James H. (Jim)","VA",0.907327586206897,464,"D",112
49,"PRYOR, Mark","AR",0.89517819706499,477,"D",112
50,"McCASKILL, Claire","MO",0.856837606837607,468,"D",112
51,"NELSON, Earl Benjamin (Ben)","NE",0.856548856548857,481,"D",112
52,"MANCHIN, Joe, III","WV",0.840248962655602,482,"D",112
1,"McCONNELL, Addison Mitchell (Mitch)","KY",0.933333333333333,480,"R",112
2,"CORNYN, John","TX",0.928270042194093,474,"R",112
3,"CHAMBLISS, Saxby","GA",0.924568965517241,464,"R",112
